"X1772066100_D04" "X1772063062_G01" "X1772060224_F07" "X1772071035_G09" "X1772067066_E12" "X1772066100_B01" "X1772067096_G10" "X1772071017_B11" "X1772062109_A07" "X1772067065_F11" "X1772066100_G07" "X1772067073_C01" "X1772066098_D07" "X1772066070_H10" "X1772067093_A10" "X1772071044_C01" "X1772066070_A11" "X1772066076_A11" "X1772071017_A09" "X1772063078_C07" "X1772063078_B07" "X1772062116_E08" "X1772060225_A07" "X1772058171_G01" "X1772067059_A07" "X1772067074_D04" "X1772067065_H06" "X1772062115_E07" "X1772060225_D09" "X1772066098_C02" "X1772066073_E09" "X1772067096_A01" "X1772066080_A04" "X1772066100_A05" "X1772071035_G06" "X1772066102_B06" "X1772071036_E06" "X1772063077_D02" "X1772071017_B01" "X1772071017_A10" "X1772062115_G12" "X1772067073_H07" "X1772066096_C05" "X1772071044_H10" "X1772063074_A01" "X1772058171_F05" "X1772067083_G04" "X1772071035_E06" "X1772067058_C04" "X1772062116_B01" "X1772067082_F08" "X1772071017_B03" "X1772063068_D06" "X1772067058_C05" "X1772067073_E04" "X1772063074_G10" "X1772071044_F10" "X1772062128_C04" "X1772071041_E05" "X1772066102_F06" "X1772066076_F11" "X1772071044_A03" "X1772067059_E12" "X1772066108_E06" "X1772067058_E08" "X1772063061_B03" "X1772067065_F07" "X1772063068_G06" "X1772066076_A07" "X1772066099_C12" "X1772067065_E07" "X1772067094_C07" "X1772066107_H06" "X1772062114_H12" "X1772067094_H11" "X1772062114_H10" "X1772071014_D03" "X1772067066_C06" "X1772067073_E11" "X1772062113_C09" "X1772067093_H07" "X1772066101_F04" "X1772062111_G03" "X1772067057_B09" "X1772067059_H04" "X1772066101_E12" "X1772062113_G01" "X1772067057_G05" "X1772071045_H03" "X1772066095_G03" "X1772066098_A01" "X1772067058_B03" "X1772060240_C04" "X1772066096_B07" "X1772067064_E04" "X1772067070_H09" "X1772063071_H02" "X1772062111_D11" "X1772066098_B12" "X1772071014_E05" "X1772067083_F08" "X1772063079_C12" "X1772066100_E09" "X1772062109_H02" "X1772066074_C08" "X1772060226_D12" "X1772062118_F04" "X1772063061_G08" "X1772058148_H08" "X1772067059_H12" "X1772066102_G12" "X1772060226_H02" "X1772066108_D06" "X1772063074_C12" "X1772062128_E08" "X1772066070_H05" "X1772066102_A09" "X1772067082_A01" "X1772071036_C12" "X1772066100_D08" "X1772060225_D07" "X1772063062_C11" "X1772066103_C03" "X1772062114_B09" "X1772066107_B12" "X1772071015_D06" "X1772071017_A06" "X1772066097_C11" "X1772066070_F04" "X1772066101_G05" "X1772062128_A07" "X1772067057_H06" "X1772060226_F12" "X1772063078_C08" "X1772066099_H05" "X1772066101_D08" "X1772062116_C11" "X1772071035_G04" "X1772063078_H04" "X1772067059_E06" "X1772060225_C02" "X1772062115_D05" "X1772058171_B09" "X1772066077_G12" "X1772060226_B03" "X1772060226_C07" "X1772066073_F08" "X1772063071_B11" "X1772062128_G11" "X1772067076_F05" "X1772067066_E10" "X1772063063_G08" "X1772066101_H08" "X1772067083_H04" "X1772063064_E06" "X1772067076_A06" "X1772066099_E06" "X1772067058_H10" "X1772071036_A09" "X1772071036_A06" "X1772071045_H07" "X1772062116_E02" "X1772067070_C04" "X1772067054_G12" "X1772063071_H07" "X1772066099_H03" "X1772062111_G01" "X1772067083_B12" "X1772067059_B06" "X1772062118_B03" "X1772062113_C03" "X1772067058_H08" "X1772062116_G09" "X1772066098_C05" "X1772067059_G12" "X1772062128_F05" "X1772067065_F10" "X1772067082_H03" "X1772062115_B06" "X1772063065_F12" "X1772066099_B06" "X1772060224_A01" "X1772066074_C01" "X1772071040_H06" "X1772066102_B05" "X1772066098_B02" "X1772071035_F05" "X1772067069_C11" "X1772067082_D07" "X1772071045_E10" "X1772067058_H05" "X1772063074_G12" "X1772067094_A02" "X1772066077_C12" "X1772062118_D02" "X1772067064_B10" "X1772066098_B06" "X1772060240_D05" "X1772062118_A11" "X1772062128_F01"
"Ppap2b" 0 0 0 0 0 0 14 0 1 0 0 0 26 0 0 7 0 14 0 0 1 2 1 0 1 0 0 2 0 23 0 0 1 0 0 0 23 0 0 0 0 13 0 0 3 0 0 0 0 25 0 0 5 0 30 0 0 9 0 1 1 1 0 0 18 0 0 0 0 2 0 0 1 0 0 0 0 41 0 0 0 0 1 0 1 0 1 0 0 0 16 20 0 0 0 0 5 0 9 0 0 2 0 0 0 3 0 1 8 1 0 2 0 1 5 0 0 0 0 10 0 6 0 2 0 0 2 1 0 14 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 2 3 0 0 17 2 7 15 0 0 0 2 0 1 0 0 13 1 1 2 0 0 3 0 0 1 0 0 0 0 0 2 2 3 1 0 0 0 1 0 14 0 0 0 0 0 0 2 1 28 7 0 3
"Fabp7" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 64 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 4 0 0 0 2 4 0 0 0 0 0 0 0 21 0 0 6 0 17 0 0 2 0 0 0 0 1 0 3 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 2 0 0 1 1 0 4 0 2 0 0 0 0 0 3 1 0 1 0 0 0 0 0 0 0 0 0 0 3 10 0 8 0 1 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 20 0 0 0 0 2 0 2 0 0 2 0 2 12 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 15 0 0 0 0 0 0 0 0 21 17 0 1
"Sparcl1" 0 1 3 20 0 3 36 16 0 21 0 0 50 9 6 23 3 158 103 0 0 2 0 1 31 2 14 0 0 125 22 3 7 9 15 11 77 0 2 0 1 79 9 2 0 0 11 45 1 63 6 25 67 4 74 1 9 38 0 9 0 13 17 25 87 3 1 5 1 7 44 0 36 0 35 0 16 91 0 0 27 0 12 2 14 3 1 28 2 6 32 39 1 16 15 0 42 2 45 16 4 0 8 0 32 0 2 2 2 11 5 5 0 0 7 12 1 16 43 18 0 25 11 7 12 15 10 4 12 34 0 19 0 7 3 19 1 28 0 8 1 1 0 1 3 0 16 36 5 5 25 53 0 24 16 46 26 5 27 9 27 2 0 34 39 12 0 15 78 0 41 2 0 1 0 8 7 9 0 5 0 0 1 0 23 6 13 157 18 8 12 1 28 15 0 1 113 23 0 115
"Dtna" 0 0 0 0 0 0 3 2 0 0 2 0 2 0 0 0 1 3 6 0 0 1 0 4 1 0 0 0 0 7 0 0 0 2 0 0 0 0 0 5 0 1 0 3 0 0 0 0 2 2 0 2 1 2 2 1 0 1 0 0 0 1 1 1 5 1 0 0 0 2 4 0 1 0 2 1 4 0 0 0 0 2 0 0 7 0 0 1 3 0 2 0 3 2 5 0 1 1 2 1 3 0 0 0 1 1 1 0 2 0 9 1 0 0 2 1 3 0 0 0 2 1 2 0 0 15 1 2 0 3 1 1 1 2 0 0 0 0 1 0 1 1 2 0 0 1 0 3 0 0 4 1 0 1 5 1 2 0 4 0 1 0 0 2 1 0 0 3 0 0 4 0 0 0 2 0 1 1 1 0 1 0 0 0 1 0 1 2 2 0 3 1 0 0 0 0 5 0 0 1
"Oat" 4 0 1 0 0 1 1 1 0 0 0 1 1 0 1 0 2 4 6 2 0 2 0 4 1 0 0 0 0 2 2 0 3 0 1 2 1 2 1 0 0 2 2 6 0 0 0 1 0 4 0 2 5 3 3 1 2 0 0 4 2 0 3 3 3 3 4 1 5 0 4 0 1 0 0 0 1 1 0 0 8 2 2 1 7 1 2 2 0 0 2 2 1 0 1 0 7 3 3 0 0 0 2 0 0 1 3 2 0 1 9 0 0 2 0 2 1 1 8 1 0 3 1 0 2 0 0 0 0 2 0 2 0 1 0 1 2 1 4 4 0 0 0 2 0 0 1 0 2 0 1 2 0 0 0 2 5 0 11 3 1 0 2 0 0 1 0 2 0 0 3 0 1 1 0 0 0 0 0 0 3 0 0 0 1 2 0 0 9 0 7 1 0 1 0 2 4 1 1 1
"Cxcl14" 6 0 0 0 0 0 0 11 0 0 21 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 11 0 2 0 0 0 0 46 62 0 1 0 19 0 0 1 0 0 0 0 50 0 0 5 0 0 0 0 0 0 0 0 0 2 10 29 0 0 7 29 0 0 0 0 0 20 4 0 0 0 5 0 0 0 0 0 0 2 0 1 1 16 0 86 0 0 0 1 37 4 0 0 0 0 0 0 1 37 0 17 0 0 0 0 0 0 0 0 5 0 2 0 0 0 72 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 7 0 0 7 0 0 0 0 0 0 2 0 1
"Ldhb" 47 7 0 10 5 2 18 15 6 36 25 9 12 15 2 5 9 20 31 5 4 6 1 0 6 0 18 0 2 20 6 56 13 16 8 14 21 2 11 11 1 14 4 37 0 11 9 16 0 14 7 16 26 7 10 2 4 6 0 12 0 12 29 65 21 42 36 4 0 43 21 0 9 7 6 6 20 3 7 4 63 20 27 0 35 15 13 18 13 9 14 0 13 12 24 2 6 5 13 54 2 9 21 0 8 2 0 6 6 7 55 5 7 9 0 11 8 0 21 24 2 2 8 3 3 14 5 12 19 12 0 8 0 13 3 7 6 31 12 9 4 4 7 2 0 0 5 18 0 16 31 14 3 4 0 42 20 19 34 19 9 2 3 3 5 3 7 24 45 2 26 1 0 9 12 0 22 3 3 0 9 0 3 16 9 5 10 30 9 7 26 7 13 10 1 2 14 7 0 23
"Gabrb1" 1 0 0 2 0 1 0 0 0 0 0 0 1 4 1 0 2 0 1 0 0 0 0 0 1 0 2 0 0 1 3 0 0 0 3 0 0 1 0 0 0 1 3 0 0 0 0 5 1 1 2 0 0 1 0 0 2 0 0 1 0 1 6 0 1 1 2 0 0 1 1 0 10 1 2 0 0 0 0 0 0 2 0 0 3 1 0 8 0 0 3 0 0 3 1 0 0 0 0 2 1 0 0 0 6 0 0 0 2 2 6 0 0 0 0 3 1 0 8 0 0 0 0 0 5 0 0 1 2 0 0 9 0 0 5 1 0 0 0 1 0 0 0 1 0 0 3 0 0 2 0 1 0 0 3 3 8 2 4 2 8 0 0 3 0 1 0 0 1 0 0 2 0 1 0 0 0 0 0 0 11 0 0 0 7 0 3 1 0 2 0 0 1 7 0 0 1 0 0 0
"Grin3a" 0 0 0 8 0 0 6 0 0 0 0 4 0 0 0 0 1 0 56 0 0 0 0 0 3 0 3 0 0 0 6 0 4 0 4 1 0 0 0 0 0 0 4 7 0 0 6 1 0 0 1 0 0 0 0 0 0 0 0 5 0 8 0 0 0 0 3 0 0 0 0 0 9 1 14 0 0 0 0 0 0 0 0 0 1 1 0 0 0 4 0 0 1 2 0 0 0 0 0 3 0 0 2 0 1 0 0 0 1 7 0 0 0 0 0 3 0 0 7 0 0 0 2 0 0 0 5 1 2 0 0 4 0 0 0 0 0 1 0 0 0 0 0 2 0 0 4 0 0 0 0 2 0 0 1 1 0 1 22 0 4 0 0 0 0 0 0 2 22 0 2 4 0 0 0 0 0 6 0 0 0 0 0 0 5 2 2 0 14 0 2 0 8 0 0 0 0 1 0 3
"Gja1" 0 0 0 0 0 0 3 0 1 0 0 0 22 0 0 12 0 13 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 41 2 0 0 0 25 0 0 0 0 0 0 0 39 0 0 8 0 20 1 4 3 0 0 0 0 1 0 26 1 0 0 0 0 0 0 0 0 0 0 0 33 1 0 0 0 0 0 0 0 0 0 0 0 22 10 0 1 0 0 9 0 22 0 0 1 0 0 0 0 0 2 0 0 0 1 0 1 4 0 0 0 0 8 0 10 0 0 0 0 0 0 0 13 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 13 0 1 9 0 0 0 0 0 0 0 0 10 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 2 1 0 32 8 1 13
"Slc4a4" 0 0 2 0 0 0 3 0 0 0 0 0 6 0 0 3 0 9 0 0 0 0 0 0 0 1 1 0 0 24 0 0 0 0 0 0 18 1 1 1 0 6 0 0 0 1 0 0 0 15 0 1 0 0 9 1 2 3 0 0 0 0 0 0 11 0 0 1 0 0 1 0 0 3 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0 0 0 1 4 1 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 1 0 7 0 0 0 2 0 0 0 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 10 0 2 7 0 0 0 0 0 0 1 0 7 2 0 0 0 1 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 23 6 0 4
"Plekhb1" 0 5 0 0 11 0 0 0 4 0 0 0 3 0 0 0 0 10 0 4 5 4 0 49 8 0 0 0 3 2 0 0 3 0 0 0 3 14 0 0 4 0 0 0 6 12 0 0 0 0 0 0 1 0 0 3 4 0 3 0 3 2 0 0 0 3 0 4 0 0 0 0 1 0 0 2 0 0 4 2 0 0 0 0 0 0 6 0 0 0 0 0 9 0 0 1 0 29 0 0 0 4 0 4 0 10 0 2 0 0 0 0 4 10 0 0 0 0 1 0 1 0 0 10 0 0 0 0 0 1 0 0 1 3 0 0 7 0 2 0 1 3 9 0 3 1 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 1 0 4 0 0 2 2 0 0 0 0 6 0 0 6 5 0 0 0 5 0 0 0 4 0 0 0 3 0 0 4 7 1 0 0 4
"Trim9" 4 0 3 9 0 2 1 4 5 11 0 1 1 2 2 0 11 2 5 0 0 0 0 0 6 0 4 0 0 4 4 0 4 2 0 0 4 0 0 7 0 1 6 0 0 0 0 10 0 2 4 1 1 5 13 0 4 7 0 4 0 1 21 2 0 1 1 0 0 8 3 0 14 1 6 0 3 2 0 0 11 1 0 0 13 0 0 16 1 4 1 2 1 6 2 0 0 0 0 3 1 0 3 0 7 0 0 0 4 1 4 1 0 0 1 8 1 1 9 1 0 1 3 0 0 4 5 1 5 5 0 0 0 0 1 0 0 2 1 11 0 0 0 9 0 0 4 3 0 6 4 3 0 0 5 2 9 4 4 1 15 0 0 9 3 1 0 1 3 0 0 0 0 1 4 0 2 4 0 0 9 1 4 0 9 0 7 2 3 3 7 0 15 1 0 0 7 3 0 0
"Fermt2" 0 5 3 0 7 0 0 3 4 4 0 0 4 2 0 4 1 3 4 6 1 6 2 1 2 0 0 1 0 5 3 0 2 0 0 0 6 7 1 1 2 22 0 1 2 2 0 5 0 10 0 0 2 0 1 1 0 0 0 1 4 0 1 2 2 0 0 1 1 2 0 0 1 3 3 6 1 2 4 2 2 0 0 0 0 0 9 1 0 2 1 6 2 3 4 3 1 0 1 0 1 5 0 4 2 10 0 4 0 3 0 2 8 4 6 0 1 1 2 2 7 3 0 6 0 0 0 1 2 2 0 1 1 8 3 0 6 0 1 0 0 2 0 0 1 1 0 8 0 0 2 3 0 7 0 1 4 1 1 0 1 1 1 12 0 0 3 1 2 3 5 0 0 0 1 0 1 0 0 2 2 1 0 8 1 1 2 3 0 0 0 6 0 0 0 5 3 4 0 4
